statement,label_binary
"More lives have been lost because of the war with the drug cartels in Juarez alone, just a few blocks from the United States of America, than have been lost in the war in Afghanistan.",1
"Of every three dollars in food stamps for the needy, seven dollars in salaries and pensions (go to) the bureaucrats who are supposed to be taking care of the poor.",1
The cheerleaders for the Dallas Cowboys have entertained more troops in the world than Bob Hope.,1
"What we said was, you can keep (your plan) if it hasnt changed since the law passed.",1
Says CNN deleted an online poll showing Bernie Sanders won the first Democratic presidential debate to help out Hillary Clinton.,1
"Since Rep. John Boccieris election, Ohio has lost 600,000 jobs and his districts unemployment has doubled.",1
Jay-Z and Beyonce Attempt to Buy Rights to Confederate Flag to Prevent Further Use.,1
"Obama ""refused to not only put his hand on his heart during the Pledge of Allegiance, but refused to say the pledge.""",1
I never considered myself a maverick.,1
"Every time the price of gasoline rises 1 cent, its abillion dollarsout of our economy that goes to Saudi Arabia.",1
It still had not gotten terrible on the roads by 2 to 3 p.m. Tuesday.,1
We can save $125 billion in simply not giving out money to Medicare recipients that dont exist for procedures that didnt happen.,1
"President Obama's bill won't bring down the costs (of health care) for average Americans -- or really for very few Americans, if any.",1
On disaster aid offsets,1
Says Mexico can afford to build a wall because the countrys trade deficit with America is billions of dollars.,1
Milwaukee has the second-highest number of children recovered from sex trafficking.,1
"Under Obama's budget plan, families making over $250,000 are going to lose their mortgage deduction, their charitable deductions.",1
"Former Alaska Governor Sarah Palin was right that President Barack Obamas health care bill created what would, in effect, be death panels.",1
Says Debo Adegbile was nominated to serve as a judge on the U.S. Circuit Court of Appeals and was abruptly withdrawn by the administration.,1
Sherrod Brown sent billions of our tax dollars to foreign countries.,1
Says the mandate is 71 times that a childs body will be injected with a disease for immunizations.,1
Says Ted Strickland admits his record on jobs and taxes is mixed and spotty.,1
"Under Hillary Clinton, State Department officials were sending official thank-yous to people who gave to the Clinton Foundation.",1
"In Minnesota, well over 6,200 election-day registrations from 2008 proved fraudulent.",1
We dont show people playing these games. We dont show them winning playing the video lottery games.,1
Mary Landrieu voted to take away your gun rights.,1
"Says Wisconsin state Sen. Randy Hopper, R-Fond du Lac, has already been recalled.",1
President Obamas health-care law will add trillions of dollars in debt.,1
The president is advocating a drone strike program in America.,1
Wisconsin women are paid 81 cents to the dollar of a man doing the same job.,1
Says South Carolina Gov. Nikki Haley is an immigrant.,1
Fox News said the New Black Panther Party decided the election for Barack Obama.,1
Says large majority of Republicans believe Obama is a Muslim and not U.S.-born.,1
Says he has a track record of not raising taxes.,1
The elimination of essentially every automobile would be offset by one volcano exploding.,1
On same-sex marriage,1
The only candidate pocketing big money from people who want to destroy coal is Mitch McConnell.,1
Wisconsins effective unemployment rate is 20 percent.,1
"Says Demond Means, turnaround district superintendent for Milwaukee Public Schools, said the district needs to be gutted.",1
"Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker.",1
President Barack Obama said at the beginning of the negotiations that the basic approach was to dismantle Irans nuclear program in exchange for dismantling the sanctions.,1
John doesn't have a record in the Senate. John's only passed four bills. They're all about post offices.,1
President Obama is a Muslim.,1
Jeanne Shaheen was principally involved in a plot with Lois Lerner and President Barack Obamas political appointee at the IRS to lead a program of harassment against conservative nonprofit groups during the 2012 election,1
I have always said that I would be for drilling.,1
Says Obama is only president in history who has deliberately removed the words endowed by their Creator when referring to the Declaration of Independence.,1
Wisconsin Gov. Scott Walkers budget okays disposing of unclaimed pound dogs to university research facilities.,1
Virginias current unemployment rate is the lowest in Virginia history.,1
"On most things except witch trials, Virginia will always have been first.",1
"Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!",1
"Obama ""remains silent"" and ""is never asked how he feels about his church honoring Farrakhan.""",1
"For every 33 pregnant women that walk into a Planned Parenthood clinic, 32 receive an abortion.",1
Says sixty-two percent of small businesses over the last five years went under because they couldnt pay their health care bills.,1
The stimulus has not created one private sector job.,1
"When Mitt Romney chose Paul Ryan as his vice-presidential running mate, that was the end of Romneys chances to win.",1
"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",1
"Recently though, the media has reported on thousands of illegal voters here in the commonwealth.",1
Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,1
"The Department of Veterans Affairs has a manual out there telling our veterans stuff like, 'Are you really of value to your community?' You know, encouraging them to commit suicide.",1
Soy ... el nico official estatal quin es un hombre de negocios.,1
The wealth gap between blacks and whites in the United States is greater than the black-white wealth gap was in apartheid South Africa.,1
"When (Barack Obama) took office, 2.3 million people were out of work. Five-plus years later, we have 5 million-plus out of work.",1
Polls on legalizing same-sex marriage are not dramatically changing.,1
Obama ad contends that John McCain endorses Rush Limbaugh's comments about immigration.,1
Florida is the first state requiring drug testing to receive welfare!,1
"While Mayor Kenney personally doesnt support DROP, he cant fault highly qualified city employees for appropriately utilizing a benefit thats available to them.",1
Says that President Barack Obama said an attack on Syria was going to be a pinprick.,1
"If all of the [Bush-era] tax cuts expire on schedule, the budget will be close to being balanced in four years.",1
Says Ted Cruz never denied his father was photographedwith Lee Harvey Oswald.,1
"Says Obama wants to redesign the American flag ""to better offer our enemies hope and love.""",1
The Obama administration manipulated deportation data to make it appear that the Border Patrol was deporting more illegal immigrants than the Bush administration.,1
"In the weekend after the terrorist attacks in Paris, the White House said this couldnt happen in the United States. ISIS couldnt reach us here.",1
"Under the Romney/Ryan budget, interest rates on federal student loans would be allowed to double.",1
Says your Legislative Assembly was within one vote of enacting each of those bills into Oregon law.,1
"Says CNNs Wolf Blitzer was wrong to say that the wealthiest Americans, they pay the most in taxes already -- 50 percent of Americans dont even pay any federal income tax.",1
Job creation has gotten worse each year that Scott Walker has been governor.,1
Says Texas public school funding grew three times the rate of enrollment from 2002 to 2012.,1
Suicide comes from federal government largesse saying you are not worth anything but you are going to get something for nothing.,1
90% of rural women and 55% of all women are illiterate in Morocco.,1
"Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.",1
"Says state Sen. Steve Ogden was the driving force behind business income tax hurting small business, crafted the Robin Hood school finance scheme making property taxes skyrocket, wrote a budget that will result in a $14 billion deficit and voted against gun freedoms.",1
Del. Ben Chafin took money away from Southwest Virginia schools while votingto build a politicians palace.,1
We dont have any chess grandmasters in the United States.,1
Says President Bill Clinton did not sign NAFTA.,1
"Thurbert Baker kept a teen in jail ""who didn't even commit a felony.""",1
"More than 100,000 women in Texas have attempted to self-induce abortion in the past year alone.",1
Non-defense discretionary spending has increased by over 80 percent in the last two years.,1
We can fix our roads without raising taxes.,1
"Says actor Dwayne The Rock Johnson wore a T-shirt stating: We Stand for the flag, we kneel for the fallen.",1
Says new estimates from the Congressional Budget Office conclude the final price-tag for the health care law will exceed $2 trillion more than double what was initially reported.,1
The Congressional Budget Office has already doubled its estimate for the cost (of Obamacare) so far from roughly $800 billion to $1.7 trillion.,1
"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",1
"The vast majority of the money I got was from small donors all across the country.''	campaign-finance	barack-obama	President	Illinois	democrat	70	71	160	163	9	an interview with CNBC's John Harwood 
5802.json	true	The Democrat-controlled Senate, it hasnt passed a budget in more than 1,000 days.	deficit,federal-budget,job-accomplishments	john-boehner	Speaker of the House of Representatives	Ohio	republican	13	22	11	4	2	a video address
6153.json	half-true	The median income in America has dropped by 10 percent in the last four years.	economy,income,jobs	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	a speech
6515.json	barely-true	Says U.S. Senate hopeful Tammy Baldwin voted for a $1 trillion stimulus bill that included a wasteful $800,000 to replace light bulbs.	energy,federal-budget,stimulus	crossroads-gps	Conservative advocacy group		republican	9	1	4	1	2	a television ad
385.json	true	Says Clinton did not read the National Intelligence Estimate before voting for the Iraq war.	iraq	barack-obama	President	Illinois	democrat	70	71	160	163	9	a speech in Westerville, Ohio
10932.json	barely-true	Thanks to the Act 10 collective bargaining law that took effect four years ago, ACT scores in Wisconsin are now second-best in the country for states where more than half the kids take the exam.	education,government-regulation,job-accomplishments,labor,unions	scott-walker	Milwaukee County Executive	Wisconsin	republican	26	41	32	40	11	a speech
5076.json	mostly-true	Our income, our GDP per capita, is almost 50 percent higher than (it is for) the average European.	economy	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	an editorial board meeting with an Iowa newspaper
12189.json	half-true	Says Rick Scott cut Medicaid so people cant get Obamacare.	health-care,medicaid	rick-scotts-starbucks-heckler	Activist, stay-at-home mom	Florida	activist	0	0	2	0	0	a confrontation with Rick Scott at Starbucks
945.json	half-true	The stimulus bill includes $8 billion for high-speed rail projects, such as a 'magnetic levitation' line from Las Vegas to Disneyland.""",1
Nine hundred people have been fired since I became secretary (of Veterans Affairs). Weve got 60 people that we fired who have manipulated wait times.,1
Says Arkansas Republican Rep. Tom Cotton voted to provide Congress with taxpayer-funded health care for life.,1
"If 20 million illegals vote, you can kiss the Second Amendment goodbye.",1
"Last year, ExxonMobil made $19 billion in profit. Guess what. They paid zero in taxes. They got a $156 million refund from the IRS.",1
You will learn more about Donald Trump by going down to the Federal Elections to see the financial disclosure form than by looking at tax returns.,1
"Obama ""suggested bombing Pakistan.""",1
Says Barack Obama is apparently not for vetting people and saying just anybody can come to the United States.,1
"Barack Obama wants to ""unilaterally disarm our nation.""",1
Says Scott Walkers bad budget includes: No weekend for workers.,1
Annexation would lead to overcrowding at Decaturs city schools.,1
"Says that three of these five Republicans -- Ben Westlund, Rob Patridge, Max Williams, Lane Shetterly, Lynn Lundquist -- later became Democrats.",1
On changing the rules for filibusters on presidential nominees,1
"When (Marcy) Kaptur fought for the Democrats prescription drug benefit for seniors, (Dennis) Kucinich voted no.",1
Says combined inflation and unemployment rates in October 2011 were the highest since Ronald Reagan succeeded Jimmy Carter.,1
"A sign in Dearborn, Mich., for the Advancement of Islamic Agenda for America says, Allah be praised. America we will kill you all and nothing you can do to stop it.",1
The federal Hate Crimes Prevention Act bill would create special protection for pedophiles.,1
"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.",1
Says a federal plan to expand Medicaid would cost Florida taxpayers $26 billion over 10 years.,1
We now have driven (health care) costs down to the lowest theyve been in 50 years.,1
"Says Hillary Clinton wrote,I believe the primary role of the state is to teach, train and raise children. Parents have a secondary role.",1
"The fact that one town has three lanes dedicated to it, that kind of gets me sauced.",1
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,1
"For the first time since 1990, American manufacturers are creating new jobs.",1
Sakineh Mohammadi Ashtiani was never sentenced to stoning.,1
Say George Washington said that when government takes away citizens right to bear arms it becomes citizens duty to take away governments right to govern.,1
The Republicans just voted last year to end Medicare.,1
We spend less on defense today as % of GDP than at any time since Pearl Harbor.,1
Florida seniors are exempt from losing Medicare Advantage under the federal health care bill.,1
[T]he Georgia Dome has returned $10 billion in economic impact to the state of Georgia.,1
"Says that when Congressman (Steve) Cohen took office in 2007, the unemployment rate was at 4.8 percent. The unemployment rate in Shelby County has reached 9.7 percent.",1
There is a very identifiable Somali community back home in Delaware.,1
"Just on Jan. 1 of this year, there were 40,000 new laws put on the books in one day.",1
"Says a lip-reading instructor at the River School, a Washington, D.C., school for the deaf has determined that during 9/11 ceremonies, Michelle Obama said, All this for a damn flag.",1
"Palin had ""executive experience"" in the PTA.",1
"13,000 Floridians are able to vote -- but their governor wont tell them.",1
"Says the Internal Revenue Service estimated it must hire 16,500 agents at a cost of $10 billion to the taxpayer to enforce the federal health care overhaul.",1
"Today, we have two Vietnams, side by side, North and South, exchanging and working.",1
The first tweet was sent from Austin.,1
Supreme Court nominee Merrick Garland voted to uphold D.C.s ban on handguns.,1
Newly Elected Republican Senators Sign Pledge to Eliminate Food Stamp Program in 2015.,1
Make no mistake -- Sherrod Brown is one of the main D.C. politicians responsible for Ohio jobs moving to China.,1
Today President Obama said there will NOT be a National Day of Prayer in May.,1
"Mercury is used in vaccines, and there is no safe level of mercury.",1
"And while (Ted) Strickland proposed cuts for services for children, he wasted over $250,000 remodeling his bathrooms at the governors mansion.",1
Says Mitt Romney plans to fire Big Bird.,1
"Governor Christie also remains the only Governor since World War II, among both Democrats and Republicans, who failed to have his party win control of at least one legislative body over the course of his term.",1
"Says that Mitt Romney, while he was in Arizona, said he believes the states SB 1070 immigration law should be the model for national immigration laws.",1
Says he lived in a colonia while working as a farm worker.,1
"Health insurance companies are making record profits, right now.",1
The Wisconsin Legislature raised taxes more than $5 billion in 2009.,1
We have more illegal immigrants here than we did five years ago.,1
Says Patrick Murphy hasnt passed a single bill out of committee.,1
"The U.S. unemployment rate has been massaged, its been doctored.",1
Says Democratic Party created the Ku Klux Klan.,1
"The reality is that we have roughly 15,000 undocumented immigrants living in the state...",1
Georgias illegal immigration crackdown laws should be called the Brown Codes because of their similarity to the Black Codes governing blacks after the Civil War.,1
The health care law is job killing.,1
A state bill would end a longstanding requirement that local governments repair highways and sidewalks -- and block injured citizens from suing over neglected maintenance.,1
Democrats do not have a plan for extending the Bush tax cuts.,1
Jeff Greene on why hewent Cuba.,1
"Because the EPA closed a lead smelter in Missouri, all lead for bullets will have to come from overseas!",1
"Shes voted for 60 tax increases, hurting the middle class and small businesses.",1
"Obama's Ten Point Plan to 'Change' The Second Amendment.Ban the manufacture, sale and possession of handguns.",1
"If you actually took the number of Muslims [sic] Americans, we'd be one of the largest Muslim countries in the world.",1
"The downsizing of Pinellas County government resulted in about 1,200 people being laid off in a 12 percent unemployment market. I can tell you that every one of them was hired from the time that Ms. Latvala went into office in 2000.",1
"On (the federal minimum wage of) $7.75, you cant even make half the poverty level.",1
"I spend a lot of time in Iowa, and believe it or not, in Ottumwa, Iowa, this is the heartland, the newspaper, the regular newspaper for Ottumwa, Iowa, is (a) bilingual newspaper.",1
"Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'",1
On changing the rules for filibusters on presidential nominees,1
Says Milwaukee County Executive Chris Abele is a billionaire.,1
Says gubernatorial candidate Clay Pell hasnt spent a dime on advertising.,1
Rep. Adam Putnam was silent when Rush Limbaugh called Sonia Sotomayor a racist.,1
Says Jon Runyan voted to end programs to aid homeless veterans.,1
On the way the federal government should spend Floridas rejected high-speed rail money.,1
Says Saddam Hussein had a 10-year relationship with al-Qaida.,1
Says stimulus money went to buy electric cars from Finland as a payback to Obama supporters.,1
Says the City of Portland alone has 84 public relation representatives on payroll which cost taxpayers over $6.2 million (a year).,1
Texans eat more catfish than residents of all other states combined.,1
"We have been focusing so much, especially the Texas Department of Transportation, on that 97 percent of people in single-occupancy vehicles.",1
"By allowing brewpubs to sell beer, Georgia could become like Mexico with only a couple of manufacturers controlling all aspects of market.",1
Lindsey Graham endorsed Charlie Crist for U.S. Senate.,1
"The 9/11 terroristsfriends, family, girlfriends in the United Stateswere sent back for the most part to Saudi Arabia. They knew what was going on. They went home, and they wanted to watch their boyfriends on television.",1
"Says EPA regulation of greenhouse gases will endanger 575 Texas dairy facilities, 58 swine operations, 1,300 corn farms and 28,000 beef cattle operations.",1
Says a Canadian provincial prime minister came to Ohio for his medical treatment because of the delay in Canadian health care which would have endangered his life.,1
An image in a ChrisAbele TV ad depicts wealthy citizens who would benefit from a lake created by the controversial Estabrook Dam.,1
More Tennesseans have hunting and fishing licenses than vote.,1
Says New Jersey Devils managing partner Jeff Vanderbeek took us into arbitration.,1
PolitiFact Wisconsin concluded that the charge that Justice Prosser prejudges matters that come before the court is True.,1
"The newly created state Immigration Enforcement Review Board can actually prosecute, and get them [violators] into jail, if we bring in the attorney general.",1
Q: What do these Patriotic Americans have in common? A: They are all Draft Dodgers.,1
Says Marco Rubio said that felons should not have their voting rights restored but that convicted felons should be allowed to own guns after they have done their time.,1
"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",1
On eliminating the influence of money in policy campaigns,1
"An Environmental Protection Agency regulation that goes into effect Jan. 1, 2012, regulates dust.",1
Says there are no political prisoners in Cuba.,1
Says Barack Obama is the only American president who has not visited the D-Day Monument in Normandy on D-Day.,1
The top 1 percent pay over half of the entire revenue for this country.,1
Say Apples Tim Cook will not do business with Indiana.,1
Says Josh Mandel bet against Ohio families,1
I sponsored the new Buy American law,1
On drilling off the Atlantic coast,1
Close to 30% of our federal prison population consists of illegal immigrants.,1
Says Hillary Clinton wants to let people just pour in. You could have 650 million people pour in and we do nothing about it. Think of it. Thats what could happen. You triple the size of our country in one week.,1
"Says that Lee Fisher once said, I never met a gun control bill I didnt like.",1
Says Gov. John Kasich implied that a portion of workers compensation rebates to employers should be directed back to him in the form of campaign cash.,1
We dont have bars on campus in Texas. Its against the law... no alcohol allowed.,1
On support for the Affordable Care Act (Obamacare).,1
"When Washington liberals wanted to take away our guns, Chet said no.",1
I'm probably one of the four or five best-known Americans in the world.,1
"Remember that developers are forced to use the 195 land union contractors, so tap an extra $10 million into any construction project.",1
"Americans ""have never paid more for gas at the pump.""",1
"Says an estimate that Texas will face an $18 billion budget gap is a number that somebody just reached up in the air and grabbed.""",1
You must list all your guns on your 2010 tax return.,1
[State Rep. Doug McKillips] donors deserve a refund.,1
Says many public-employee unions falsely told their Wisconsin members his budget-repair bill sought 12 percent to 13 percent of their incomes for health insurance premiums.,1
"Texas #2 in nation for new gun purchases, behind California.",1
A measure to repeal the states prevailing wage law would make it easier for state contractors to hire illegal workers for Wisconsin construction jobs through an illegal worker loophole in the state budget.,1
﻿Says JoAnne Kloppenburgs side had a 3-to-1 money advantage in the Wisconsin Supreme Court campaign.,1
"Says Houston is home to more doctors, more nurses, more researchers than any other place in the world.",1
"In 1992, Barack Obama directed ""Project Vote - an arm of ACORN that also encouraged voter registration.""",1
You wonder why you dont see Rand Paul as much; hes still shopping for his billionaire. Hes like the only one who hasnt found a billionaire to fund his super PAC.,1
Says U.S. House candidate Carlos Curbelo supported raising flood insurance rates.,1
No federal official at any level is currently allowed to say Merry Christmas.,1
"Says under Oregon law, girls from 15 years of age and up are given complete control over whether to be sterilized or not.",1
"Across the board, violent crime in jurisdictions that recognize the Right to Carry is lower than in areas that prevent it.",1
Says Wisconsin state Senate President Michael Elllis (R-Neenah) broke Senate rules during debate on a photo ID bill for voters.,1
"When Standard Poors dropped our credit rating, what they said is, we dont have an ability to repay our debt. ... I was proved right in my position that the debt ceiling should not have been raised.",1
"Hillary Clinton wants to shut down family farms using radical regulation, by raising business tax rates as high as nearly 50 percent and by taxing family farms again at death by as much as 45 percent.",1
The average student comes out of college hundreds of thousands of dollars in debt.,1
"Says that as president, Barack Obama has not gone to the Texas-Mexico border",1
"After Hurricane Katrina, Dallas and San Antonio took in 5,000 to 10,000 refugees each, but (Bill) White brought in 250,000 and put them up in his buddies empty apartment buildings and let the federal government pay their rents for over two years. They did not return to New Orleans, most of them are on welfare.",1
The Democrats have already voted to ban our conventional light bulbs ... in favor of dangerous fluorescent light bulbs.,1
"If Congress fails to act, the Obama administration intends to give away control of the internet to an international body akin to the United Nations.",1
On calling Supreme Court nominee Sonia Sotomayor a racist.,1
"Jeff Merkley was the deciding vote on Obamacare, which in Oregon has been an unmitigated disaster.",1
"Says U.S. Senate candidate Tommy Thompson admitted that Washington, D.C., changed him into an insider selling his influence to make millions from powerful special interests.",1
Kesha Rogers is not a Democrat.,1
Says Patrick Murphy is the only candidate to have voted against every measure to fund Zika.,1
Were one of the only communities in the country that didnt lose population in the last census.,1
Redistribution has never been a characteristic of America.,1
On repealing the 17th Amendment,1
"Says state Sen. Morgan Carrolls votes made it easier to sue doctors, small businesses, even nurses. Putting her own shady interests first.",1
"Says that since lawmakers acted, we have 130 new businesses across Texas doing helicopter hog hunts.",1
Says Jeb Bush has released 10 percent of his emails.,1
Sen.Mark Begich cast the deciding vote in favor of President Obamas authority to issue executive amnesty to illegal aliens.,1
"Today and every day, an estimated 14,000 Americans will lose their health insurance coverage.",1
Says the federal government mandates transexuals (sic) and homosexuals grabbing children in their stranger-danger zones in the name of airport security.,1
"Today, you cant rely on (the retirement fund for public employees), its not funded.",1
"Elena Kagan is a New York City radical, Marxist lawyer through and through.",1
"If an Iranian woman shows too much hair in public, she risks being beaten or killed.",1
"I have never asked for a single earmark, pork barrel project for my state of Arizona.",1
Says the federal government borrows almost $60 billion per week.,1
The U.S. Census believes that by 2030 the majority of Americans will use Spanish as their first language.,1
"John McCain refuses to support a new bipartisan energy bill ""because it would take away tax breaks from oil companies like Exxon Mobil.""",1
"John Boehner has called for repealing the rest of the stimulus, which would raise taxes on 110 million middle class people.",1
Gov. Scott Walker and the Republican-controlled state legislature have added over $140 million in new special interest spending,1
Dan Branch once lobbied for the AFL-CIO.,1
Wendy Davis was just doing a fund-raiser in Chicago with the international socialists organization.,1
Every Republican Senate candidate has now announced whether or not they support the Senate taking up the Supreme Court vacancyexcept for Congressman Heck.,1
Obama couldn't have afforded his home without Rezko's help.,1
More than 43 percent of all food stamps are given to illegals.,1
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",1
Seth Magaziner plans to spend billions more of your money.,1
Says President Obama has doubled the deficit.,1
A bill backed by Sean Duffy and other House Republicans could actually require the Internal Revenue Service to conduct audits of rape victims who get an abortion.,1
Tampa mayoral opponent Bob Buckhorn supported forcing police officers to keep their guns locked in the trunks of their cruisers.,1
Says Will Rasmussen supported a sales tax as recently as last spring.,1
The Iranians continue in the view of every objective observer continue to pursue the acquisition of nuclear weapons.,1
Says the No. 2 cause of death in the U.S. (for) women under 50 is being killed by their spouse or domestic partner.,1
Accuses President Barack Obama of making contradictory claims about efforts to kill Osama bin Laden in 2008 and 2011.,1
Sen. Jeff Merkley voted six times for more debt.,1
Im the only one whos fought against developers draining the Everglades!,1
"Most young Americans right now, theyre not covered by health insurance.",1
"Says Connie Mack IV co-sponsored a bill to take a third of the Social Security Trust Fund ... give it in individual accounts to the senior citizens, who then were to invest it in the stock market.",1
GDP was zero essentially for the last two quarters.,1
A 2005 gay pride vote had nothing to do with discrimination.,1
The Benghazi probe is the longest-running congressional investigation ever.,1
"Says Republican state leaders are using ""Soviet-style"" budget management.",1
"In Arizona, there are only one and a half (Border Patrol) agents per every 10 square miles.",1
Our national debt is as low as it has been since World War II.,1
Chris Coons has Marxist beliefs.,1
We could cut unemployment in half simply by reclaiming the jobs taken by illegal workers.,1
More people in this country have seen UFOs than I think approve of George Bush's presidency.,1
"Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store.",1
"Wisconsin has created just under 100,000 jobs since he took office.",1
Operating a health care exchange would be illegal in Georgia and some states because of legislation passed in those states.,1
We have unemployment that rivals the Great Depression.,1
"Under Scott Walker, the Wisconsin middle class is shrinking at a faster rate than any other state in the country.",1
"Says Rand Paul thinks drug-dealing, theft, burglary and prostitution should be decriminalized.",1
Joe Garcia raised utility rates on families.,1
This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.,1
"I was among the earliest to criticize the rush to war (in Iraq), and yes, even before the war ever started.",1
U.S. Sen. Saxby Chambliss votes more with Democrats than with conservatives.,1
"Tells David Cicilline, 94 percent of the carbon emissions which you so want to get rid of are caused by nature.",1
President Barack Obama met with Iranian president Hassan Rouhani.,1
Says new GOP Wisconsin Assembly members voted to take funding away from their public schools in their districts to give it to private Milwaukee voucher schools.,1
As long as I have served . . . This is the first time every single solitary decision has required 60 senators.,1
Debbie Jackow unlike her opponent ...WILL NOT de-fund the 20/20 land program.,1
Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Jim Renaccis Republican majority.,1
Claims that Rep. Sanford Bishop votes similar to House Speaker Nancy Pelosi are inaccurate.,1
Were the only nation in the world that does not use the military to secure our border.,1
Diane Black voted to fund Obamacare.,1
"We were promised (the stimulus) would provide 'green jobs' for Americans, but 80% of the $2 billion they spent on alternative energy went to purchase wind turbines built in China!",1
Says its an old wives story that Margaret Thatcher told George H.W. Bush not to go wobbly.,1
Says Gov. Scott Walkers repeal of a 2009 law has left Wisconsin as one of five states without an equal pay law protecting women from gender discrimination in their paycheck.,1
"The ACLU didnt call for an investigation (of the Newark police department), they called for an immediate federal monitor.",1
"I signed the largest single tax cut in the history of Florida, a $25 billion tax cut over five years, directed at property tax cuts.",1
For every single scientist that tells you (global warming is) happening and that its our fault...I can stack up another group of reports that say just the opposite.,1
"A Medicaid provision added to the Senate health carereform bill ""is not a special deal for Nebraska.""",1
Says city leadership is threatening to lay off police and emergency services personnel to balance the budget.,1
Says state Senate candidate Aaron Bean voted to give health care subsidies to illegal immigrants.,1
"Says as GOP was picking a convention city, I recommended Ohio.",1
"As Houstons mayor, I helped our area lead the nation in job growth.",1
Says the federal government restricts how much salt we can put on our food.,1
"Says abortion doctors are flying into this state, performing abortions and flying out.",1
Says Milwaukee County district attorney candidate Verona Swanigan has worked as a prosecutor.,1
China owns about 29 percent of (the U.S.) debt.,1
Says 11 soccer players on the U.S. Mens National Team are immigrants.,1
"In Japan, permanent residency is not given to Muslims, the propagation of Islam is banned, one cannot import a Koran published in the Arabic language, and Muslims cannot even rent a house.",1
Says Sen. Sherrod Brown cast the deciding vote on the government takeover of health care.,1
On support for the Bridge to Nowhere.,1
"If you threw a barbecue yesterday for the Memorial weekend, it was 29 percent more expensive than last year because Barack Obamas policies have led to groceries going up 29 percent.",1
Right now we have sufficient reserves to take care of Tennessees lottery scholarship students for a few years more.,1
"Every year since Gov. Walker and the Republicans have been in control of the Legislature weve created fewer jobs, according to the Bureau of Labor Statistics.",1
